id,title,description,price,discountPercentage,rating,stock,brand,category,thumbnail,extracted_at,estimated_revenue
1,Essence Mascara Lash Princess,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.,9.99,10.48,2.56,99,Essence,beauty,https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/thumbnail.webp,2025-11-26 13:29:58.567364,989.01
2,Eyeshadow Palette with Mirror,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",19.99,18.19,2.86,34,Glamour Beauty,beauty,https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/thumbnail.webp,2025-11-26 13:29:58.567364,679.66
3,Powder Canister,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",14.99,9.84,4.64,89,Velvet Touch,beauty,https://cdn.dummyjson.com/product-images/beauty/powder-canister/thumbnail.webp,2025-11-26 13:29:58.567364,1334.1100000000001
4,Red Lipstick,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",12.99,12.16,4.36,91,Chic Cosmetics,beauty,https://cdn.dummyjson.com/product-images/beauty/red-lipstick/thumbnail.webp,2025-11-26 13:29:58.567364,1182.09
5,Red Nail Polish,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",8.99,11.44,4.32,79,Nail Couture,beauty,https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/thumbnail.webp,2025-11-26 13:29:58.567364,710.21
6,Calvin Klein CK One,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",49.99,1.89,4.37,29,Calvin Klein,fragrances,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/thumbnail.webp,2025-11-26 13:29:58.567364,1449.71
7,Chanel Coco Noir Eau De,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",129.99,16.51,4.26,58,Chanel,fragrances,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/thumbnail.webp,2025-11-26 13:29:58.567364,7539.42
8,Dior J'adore,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",89.99,14.72,3.8,98,Dior,fragrances,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/thumbnail.webp,2025-11-26 13:29:58.567364,8819.019999999999
9,Dolce Shine Eau de,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",69.99,0.62,3.96,4,Dolce & Gabbana,fragrances,https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/thumbnail.webp,2025-11-26 13:29:58.567364,279.96
10,Gucci Bloom Eau de,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",79.99,14.39,2.74,91,Gucci,fragrances,https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/thumbnail.webp,2025-11-26 13:29:58.567364,7279.089999999999
11,Annibale Colombo Bed,"The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.",1899.99,8.57,4.77,88,Annibale Colombo,furniture,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/thumbnail.webp,2025-11-26 13:29:58.567364,167199.12
12,Annibale Colombo Sofa,"The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.",2499.99,14.4,3.92,60,Annibale Colombo,furniture,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/thumbnail.webp,2025-11-26 13:29:58.567364,149999.4
13,Bedside Table African Cherry,"The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.",299.99,19.09,2.87,64,Furniture Co.,furniture,https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/thumbnail.webp,2025-11-26 13:29:58.567364,19199.36
14,Knoll Saarinen Executive Conference Chair,"The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.",499.99,2.01,4.88,26,Knoll,furniture,https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/thumbnail.webp,2025-11-26 13:29:58.567364,12999.74
15,Wooden Bathroom Sink With Mirror,"The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.",799.99,8.8,3.59,7,Bath Trends,furniture,https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/thumbnail.webp,2025-11-26 13:29:58.567364,5599.93
16,Apple,"Fresh and crisp apples, perfect for snacking or incorporating into various recipes.",1.99,12.62,4.19,8,,groceries,https://cdn.dummyjson.com/product-images/groceries/apple/thumbnail.webp,2025-11-26 13:29:58.567364,15.92
17,Beef Steak,"High-quality beef steak, great for grilling or cooking to your preferred level of doneness.",12.99,9.61,4.47,86,,groceries,https://cdn.dummyjson.com/product-images/groceries/beef-steak/thumbnail.webp,2025-11-26 13:29:58.567364,1117.14
18,Cat Food,Nutritious cat food formulated to meet the dietary needs of your feline friend.,8.99,9.58,3.13,46,,groceries,https://cdn.dummyjson.com/product-images/groceries/cat-food/thumbnail.webp,2025-11-26 13:29:58.567364,413.54
19,Chicken Meat,"Fresh and tender chicken meat, suitable for various culinary preparations.",9.99,13.7,3.19,97,,groceries,https://cdn.dummyjson.com/product-images/groceries/chicken-meat/thumbnail.webp,2025-11-26 13:29:58.567364,969.03
20,Cooking Oil,"Versatile cooking oil suitable for frying, sautéing, and various culinary applications.",4.99,9.33,4.8,10,,groceries,https://cdn.dummyjson.com/product-images/groceries/cooking-oil/thumbnail.webp,2025-11-26 13:29:58.567364,49.900000000000006
21,Cucumber,"Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.",1.49,0.16,4.07,84,,groceries,https://cdn.dummyjson.com/product-images/groceries/cucumber/thumbnail.webp,2025-11-26 13:29:58.567364,125.16
22,Dog Food,Specially formulated dog food designed to provide essential nutrients for your canine companion.,10.99,10.27,4.55,71,,groceries,https://cdn.dummyjson.com/product-images/groceries/dog-food/thumbnail.webp,2025-11-26 13:29:58.567364,780.29
23,Eggs,"Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.",2.99,11.05,2.53,9,,groceries,https://cdn.dummyjson.com/product-images/groceries/eggs/thumbnail.webp,2025-11-26 13:29:58.567364,26.910000000000004
24,Fish Steak,"Quality fish steak, suitable for grilling, baking, or pan-searing.",14.99,4.23,3.78,74,,groceries,https://cdn.dummyjson.com/product-images/groceries/fish-steak/thumbnail.webp,2025-11-26 13:29:58.567364,1109.26
25,Green Bell Pepper,"Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.",1.29,0.16,3.25,33,,groceries,https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/thumbnail.webp,2025-11-26 13:29:58.567364,42.57
26,Green Chili Pepper,"Spicy green chili pepper, ideal for adding heat to your favorite recipes.",0.99,1.0,3.66,3,,groceries,https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/thumbnail.webp,2025-11-26 13:29:58.567364,2.9699999999999998
27,Honey Jar,"Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.",6.99,14.4,3.97,34,,groceries,https://cdn.dummyjson.com/product-images/groceries/honey-jar/thumbnail.webp,2025-11-26 13:29:58.567364,237.66
28,Ice Cream,"Creamy and delicious ice cream, available in various flavors for a delightful treat.",5.49,8.69,3.39,27,,groceries,https://cdn.dummyjson.com/product-images/groceries/ice-cream/thumbnail.webp,2025-11-26 13:29:58.567364,148.23000000000002
29,Juice,"Refreshing fruit juice, packed with vitamins and great for staying hydrated.",3.99,12.06,3.94,50,,groceries,https://cdn.dummyjson.com/product-images/groceries/juice/thumbnail.webp,2025-11-26 13:29:58.567364,199.5
30,Kiwi,"Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.",2.49,15.22,4.93,99,,groceries,https://cdn.dummyjson.com/product-images/groceries/kiwi/thumbnail.webp,2025-11-26 13:29:58.567364,246.51000000000002
31,Lemon,"Zesty and tangy lemons, versatile for cooking, baking, or making refreshing beverages.",0.79,9.7,3.53,31,,groceries,https://cdn.dummyjson.com/product-images/groceries/lemon/thumbnail.webp,2025-11-26 13:29:58.567364,24.490000000000002
32,Milk,"Fresh and nutritious milk, a staple for various recipes and daily consumption.",3.49,13.74,2.61,27,,groceries,https://cdn.dummyjson.com/product-images/groceries/milk/thumbnail.webp,2025-11-26 13:29:58.567364,94.23
33,Mulberry,"Sweet and juicy mulberries, perfect for snacking or adding to desserts and cereals.",4.99,12.87,4.95,99,,groceries,https://cdn.dummyjson.com/product-images/groceries/mulberry/thumbnail.webp,2025-11-26 13:29:58.567364,494.01000000000005
34,Nescafe Coffee,"Quality coffee from Nescafe, available in various blends for a rich and satisfying cup.",7.99,1.59,4.82,57,,groceries,https://cdn.dummyjson.com/product-images/groceries/nescafe-coffee/thumbnail.webp,2025-11-26 13:29:58.567364,455.43
35,Potatoes,"Versatile and starchy potatoes, great for roasting, mashing, or as a side dish.",2.29,5.38,4.81,13,,groceries,https://cdn.dummyjson.com/product-images/groceries/potatoes/thumbnail.webp,2025-11-26 13:29:58.567364,29.77
36,Protein Powder,"Nutrient-packed protein powder, ideal for supplementing your diet with essential proteins.",19.99,7.59,4.18,80,,groceries,https://cdn.dummyjson.com/product-images/groceries/protein-powder/thumbnail.webp,2025-11-26 13:29:58.567364,1599.1999999999998
37,Red Onions,"Flavorful and aromatic red onions, perfect for adding depth to your savory dishes.",1.99,9.9,4.2,82,,groceries,https://cdn.dummyjson.com/product-images/groceries/red-onions/thumbnail.webp,2025-11-26 13:29:58.567364,163.18
38,Rice,"High-quality rice, a staple for various cuisines and a versatile base for many dishes.",5.99,9.29,3.18,59,,groceries,https://cdn.dummyjson.com/product-images/groceries/rice/thumbnail.webp,2025-11-26 13:29:58.567364,353.41
39,Soft Drinks,"Assorted soft drinks in various flavors, perfect for refreshing beverages.",1.99,17.48,4.75,53,,groceries,https://cdn.dummyjson.com/product-images/groceries/soft-drinks/thumbnail.webp,2025-11-26 13:29:58.567364,105.47
40,Strawberry,"Sweet and succulent strawberries, great for snacking, desserts, or blending into smoothies.",3.99,1.12,3.08,46,,groceries,https://cdn.dummyjson.com/product-images/groceries/strawberry/thumbnail.webp,2025-11-26 13:29:58.567364,183.54000000000002
41,Tissue Paper Box,"Convenient tissue paper box for everyday use, providing soft and absorbent tissues.",2.49,13.28,2.69,86,,groceries,https://cdn.dummyjson.com/product-images/groceries/tissue-paper-box/thumbnail.webp,2025-11-26 13:29:58.567364,214.14000000000001
42,Water,"Pure and refreshing bottled water, essential for staying hydrated throughout the day.",0.99,14.92,4.96,53,,groceries,https://cdn.dummyjson.com/product-images/groceries/water/thumbnail.webp,2025-11-26 13:29:58.567364,52.47
43,Decoration Swing,"The Decoration Swing is a charming addition to your home decor. Crafted with intricate details, it adds a touch of elegance and whimsy to any room.",59.99,10.41,3.16,47,,home-decoration,https://cdn.dummyjson.com/product-images/home-decoration/decoration-swing/thumbnail.webp,2025-11-26 13:29:58.567364,2819.53
44,Family Tree Photo Frame,"The Family Tree Photo Frame is a sentimental and stylish way to display your cherished family memories. With multiple photo slots, it tells the story of your loved ones.",29.99,14.87,4.53,77,,home-decoration,https://cdn.dummyjson.com/product-images/home-decoration/family-tree-photo-frame/thumbnail.webp,2025-11-26 13:29:58.567364,2309.23
45,House Showpiece Plant,The House Showpiece Plant is an artificial plant that brings a touch of nature to your home without the need for maintenance. It adds greenery and style to any space.,39.99,7.46,4.67,28,,home-decoration,https://cdn.dummyjson.com/product-images/home-decoration/house-showpiece-plant/thumbnail.webp,2025-11-26 13:29:58.567364,1119.72
46,Plant Pot,"The Plant Pot is a stylish container for your favorite plants. With a sleek design, it complements your indoor or outdoor garden, adding a modern touch to your plant display.",14.99,6.84,3.01,59,,home-decoration,https://cdn.dummyjson.com/product-images/home-decoration/plant-pot/thumbnail.webp,2025-11-26 13:29:58.567364,884.41
47,Table Lamp,"The Table Lamp is a functional and decorative lighting solution for your living space. With a modern design, it provides both ambient and task lighting, enhancing the atmosphere.",49.99,7.09,3.55,9,,home-decoration,https://cdn.dummyjson.com/product-images/home-decoration/table-lamp/thumbnail.webp,2025-11-26 13:29:58.567364,449.91
48,Bamboo Spatula,"The Bamboo Spatula is a versatile kitchen tool made from eco-friendly bamboo. Ideal for flipping, stirring, and serving various dishes.",7.99,2.84,3.27,37,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/bamboo-spatula/thumbnail.webp,2025-11-26 13:29:58.567364,295.63
49,Black Aluminium Cup,The Black Aluminium Cup is a stylish and durable cup suitable for both hot and cold beverages. Its sleek black design adds a modern touch to your drinkware collection.,5.99,15.65,4.46,75,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/black-aluminium-cup/thumbnail.webp,2025-11-26 13:29:58.567364,449.25
50,Black Whisk,The Black Whisk is a kitchen essential for whisking and beating ingredients. Its ergonomic handle and sleek design make it a practical and stylish tool.,9.99,10.24,3.9,73,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/black-whisk/thumbnail.webp,2025-11-26 13:29:58.567364,729.27
51,Boxed Blender,"The Boxed Blender is a powerful and compact blender perfect for smoothies, shakes, and more. Its convenient design and multiple functions make it a versatile kitchen appliance.",39.99,7.26,4.56,9,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/boxed-blender/thumbnail.webp,2025-11-26 13:29:58.567364,359.91
52,Carbon Steel Wok,"The Carbon Steel Wok is a versatile cooking pan suitable for stir-frying, sautéing, and deep frying. Its sturdy construction ensures even heat distribution for delicious meals.",29.99,6.53,4.05,40,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/carbon-steel-wok/thumbnail.webp,2025-11-26 13:29:58.567364,1199.6
53,Chopping Board,"The Chopping Board is an essential kitchen accessory for food preparation. Made from durable material, it provides a safe and hygienic surface for cutting and chopping.",12.99,8.03,3.7,14,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/chopping-board/thumbnail.webp,2025-11-26 13:29:58.567364,181.86
54,Citrus Squeezer Yellow,The Citrus Squeezer in Yellow is a handy tool for extracting juice from citrus fruits. Its vibrant color adds a cheerful touch to your kitchen gadgets.,8.99,12.1,4.63,22,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/citrus-squeezer-yellow/thumbnail.webp,2025-11-26 13:29:58.567364,197.78
55,Egg Slicer,"The Egg Slicer is a convenient tool for slicing boiled eggs evenly. It's perfect for salads, sandwiches, and other dishes where sliced eggs are desired.",6.99,14.76,3.09,40,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/egg-slicer/thumbnail.webp,2025-11-26 13:29:58.567364,279.6
56,Electric Stove,The Electric Stove provides a portable and efficient cooking solution. Ideal for small kitchens or as an additional cooking surface for various culinary needs.,49.99,14.04,4.11,21,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/electric-stove/thumbnail.webp,2025-11-26 13:29:58.567364,1049.79
57,Fine Mesh Strainer,The Fine Mesh Strainer is a versatile tool for straining liquids and sifting dry ingredients. Its fine mesh ensures efficient filtering for smooth cooking and baking.,9.99,3.5,3.04,85,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/fine-mesh-strainer/thumbnail.webp,2025-11-26 13:29:58.567364,849.15
58,Fork,The Fork is a classic utensil for various dining and serving purposes. Its durable and ergonomic design makes it a reliable choice for everyday use.,3.99,8.07,3.11,7,,kitchen-accessories,https://cdn.dummyjson.com/product-images/kitchen-accessories/fork/thumbnail.webp,2025-11-26 13:29:58.567364,27.93
